アクメシア	Akumesia
マリア足上げアナル事後	Maria_Leg_Up_Anal_After
.\res\texture\マリア足上げアナル事後.png	.\res\texture\マリア足上げアナル事後.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げアナル事後.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げアナル事後.png
マリア足上げアナル事後待機	Maria_Leg_Up_Anal_After_Standby
.\res\texture\マリア足上げアナル事後待機.png	.\res\texture\マリア足上げアナル事後待機.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げアナル事後待機.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げアナル事後待機.png
マリア足上げアナル妊娠1	Maria_Leg_Up_Anal_Pregnant1
.\res\texture\マリア足上げアナル妊娠1.png	.\res\texture\マリア足上げアナル妊娠1.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げアナル妊娠1.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げアナル妊娠1.png
マリア足上げアナル妊娠2	Maria_Leg_Up_Anal_Pregnant2
.\res\texture\マリア足上げアナル妊娠2.png	.\res\texture\マリア足上げアナル妊娠2.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げアナル妊娠2.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げアナル妊娠2.png
マリア足上げアナル妊娠3	Maria_Leg_Up_Anal_Pregnant3
.\res\texture\マリア足上げアナル妊娠3.png	.\res\texture\マリア足上げアナル妊娠3.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げアナル妊娠3.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げアナル妊娠3.png
マリア足上げ事後	Maria_Leg_Up_After
.\res\texture\マリア足上げ事後.png	.\res\texture\マリア足上げ事後.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ事後.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ事後.png
マリア足上げ事後待機	Maria_Leg_Up_After_Standby
.\res\texture\マリア足上げ事後待機.png	.\res\texture\マリア足上げ事後待機.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ事後待機.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ事後待機.png
.\res\texture\マリア足上げ待機.png	.\res\texture\マリア足上げ待機.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ待機.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ待機.png
.\res\texture\マリア足上げ待機妊娠.png	.\res\texture\マリア足上げ待機妊娠.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ待機妊娠.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ待機妊娠.png
マリア足上げ妊娠1	Maria_Leg_Up_Pregnant1
.\res\texture\マリア足上げ妊娠1.png	.\res\texture\マリア足上げ妊娠1.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ妊娠1.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ妊娠1.png
マリア足上げ妊娠2	Maria_Leg_Up_Pregnant2
.\res\texture\マリア足上げ妊娠2.png	.\res\texture\マリア足上げ妊娠2.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ妊娠2.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ妊娠2.png
マリア足上げ妊娠3	Maria_Leg_Up_Pregnant3
.\res\texture\マリア足上げ妊娠3.png	.\res\texture\マリア足上げ妊娠3.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ妊娠3.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア足上げ妊娠3.png
マリア裸	Maria_Nude
.\res\texture\マリア裸.png	.\res\texture\マリア裸.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア裸.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア裸.png
マリア裸上着	Maria_Nude_Top
.\res\texture\マリア裸上着.png	.\res\texture\マリア裸上着.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア裸上着.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア裸上着.png
マリア裸妊娠	Maria_Nude_Pregnant
.\res\texture\マリア裸妊娠.png	.\res\texture\マリア裸妊娠.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア裸妊娠.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア裸妊娠.png
マリア表情1	Maria_Expression1
.\res\texture\マリア表情1.png	.\res\texture\マリア表情1.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情1.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情1.png
マリア表情10	Maria_Expression10
.\res\texture\マリア表情10.png	.\res\texture\マリア表情10.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情10.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情10.png
マリア表情11	Maria_Expression11
.\res\texture\マリア表情11.png	.\res\texture\マリア表情11.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情11.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情11.png
マリア表情12	Maria_Expression12
.\res\texture\マリア表情12.png	.\res\texture\マリア表情12.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情12.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情12.png
マリア表情13	Maria_Expression13
.\res\texture\マリア表情13.png	.\res\texture\マリア表情13.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情13.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情13.png
マリア表情14	Maria_Expression14
.\res\texture\マリア表情14.png	.\res\texture\マリア表情14.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情14.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情14.png
マリア表情15	MariaExpression15
.\res\texture\マリア表情15.png	.\res\texture\マリア表情15.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情15.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情15.png
マリア表情2	MariaExpression2
.\res\texture\マリア表情2.png	.\res\texture\マリア表情2.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情2.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情2.png
マリア表情3	MariaExpression3
.\res\texture\マリア表情3.png	.\res\texture\マリア表情3.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情3.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情3.png
マリア表情4	MariaExpression4
.\res\texture\マリア表情4.png	.\res\texture\マリア表情4.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情4.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情4.png
マリア表情5	MariaExpression5
.\res\texture\マリア表情5.png	.\res\texture\マリア表情5.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情5.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情5.png
マリア表情6	MariaExpression6
.\res\texture\マリア表情6.png	.\res\texture\マリア表情6.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情6.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情6.png
マリア表情7	MariaExpression7
.\res\texture\マリア表情7.png	.\res\texture\マリア表情7.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情7.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情7.png
マリア表情8	MariaExpression8
.\res\texture\マリア表情8.png	.\res\texture\マリア表情8.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情8.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情8.png
マリア表情9	MariaExpression9
.\res\texture\マリア表情9.png	.\res\texture\マリア表情9.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情9.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\表情\マリア表情9.png
ココ表情1	CocoExpression1
.\res\texture\ココ表情1.png	.\res\texture\ココ表情1.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情1.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情1.png
ココ表情10	CocoExpression10
.\res\texture\ココ表情10.png	.\res\texture\ココ表情10.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情10.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情10.png
ココ表情11	CocoExpression11
.\res\texture\ココ表情11.png	.\res\texture\ココ表情11.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情11.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情11.png
ココ表情12	CocoExpression12
.\res\texture\ココ表情12.png	.\res\texture\ココ表情12.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情12.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情12.png
ココ表情13	CocoExpression13
.\res\texture\ココ表情13.png	.\res\texture\ココ表情13.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情13.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情13.png
ココ表情14	CocoExpression14
.\res\texture\ココ表情14.png	.\res\texture\ココ表情14.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情14.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情14.png
ココ表情2	CocoExpression2
.\res\texture\ココ表情2.png	.\res\texture\ココ表情2.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情2.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情2.png
ココ表情3	CocoExpression3
.\res\texture\ココ表情3.png	.\res\texture\ココ表情3.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情3.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情3.png
ココ表情4	CocoExpression4
.\res\texture\ココ表情4.png	.\res\texture\ココ表情4.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情4.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情4.png
ココ表情5	CocoExpression5
.\res\texture\ココ表情5.png	.\res\texture\ココ表情5.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情5.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情5.png
ココ表情6	CocoExpression6
.\res\texture\ココ表情6.png	.\res\texture\ココ表情6.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情6.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情6.png
ココ表情7	CocoExpression7
.\res\texture\ココ表情7.png	.\res\texture\ココ表情7.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情7.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情7.png
ココ表情8	CocoExpression8
.\res\texture\ココ表情8.png	.\res\texture\ココ表情8.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情8.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情8.png
ココ表情9	CocoExpression9
.\res\texture\ココ表情9.png	.\res\texture\ココ表情9.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情9.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\ココ子づくり\表情\ココ表情9.png
.\res\texture\マリア開脚待機上着.png	.\res\texture\マリア開脚待機上着.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア開脚待機上着.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア開脚待機上着.png
マリア開脚上着1	MariaLegsSpreadClothed1
.\res\texture\マリア開脚上着1.png	.\res\texture\マリア開脚上着1.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア開脚上着1.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア開脚上着1.png
マリア開脚上着2	MariaLegsSpreadClothed2
.\res\texture\マリア開脚上着2.png	.\res\texture\マリア開脚上着2.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア開脚上着2.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア開脚上着2.png
マリア開脚上着3	MariaLegsSpreadClothed3
.\res\texture\マリア開脚上着3.png	.\res\texture\マリア開脚上着3.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア開脚上着3.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\イベントスチル\こづくり\マリア子づくり\マリア開脚上着3.png
マリア自宅H_表情	MariaHomeH_Expression
無し：マリア開脚待機上着ピストンfin	None: MariaLegsSpreadWaitClothedPistonFin
無し：マリア開脚挿入上着	None: MariaLegsSpreadInsertClothed
無し：マリア開脚挿入上着待機	None: MariaLegsSpreadInsertClothedWait
無し：マリア開脚挿入上着抜く	None: MariaLegsSpreadInsertClothedPull
無し：マリア開脚待機上着ピストン事後	None: MariaLegsSpreadWaitClothedPistonAfter
無し：マリア開脚待機上着ピストン	None: MariaLegsSpreadWaitClothedPiston
無し：マリア開脚待機上着ピストンfast	None: MariaLegsSpreadWaitClothedPistonFast
無し：マリアスカート	None: MariaSkirt
無し：マリア開脚待機上着	None: MariaLegsSpreadWaitClothed
ココ自宅H_表情	CocoHomeH_Expression
ニア自宅H_表情	NiaHomeH_Expression
シャルロット自宅H_表情	CharlotteHomeH_Expression
エロステ_ベース	EroStatus_Base
.\res\texture\エロステ_ベース.png	.\res\texture\エロステ_ベース.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ_ベース.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ_ベース.png
エロステ_付箋	EroStatus_StickyNote
.\res\texture\エロステ_付箋.png	.\res\texture\エロステ_付箋.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ_付箋.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ_付箋.png
エロステ_本	EroStatus_Book
.\res\texture\エロステ_本.png	.\res\texture\エロステ_本.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ_本.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ_本.png
エロステ_名札	EroStatus_NameTag
.\res\texture\エロステ_名札.png	.\res\texture\エロステ_名札.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ_名札.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ_名札.png
.\res\texture\マリアスチル1.png	.\res\texture\マリアスチル1.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル1.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル1.png
.\res\texture\マリアスチル2.png	.\res\texture\マリアスチル2.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル2.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル2.png
.\res\texture\マリアスチル3.png	.\res\texture\マリアスチル3.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル3.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル3.png
.\res\texture\マリアスチル4.png	.\res\texture\マリアスチル4.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル4.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル4.png
.\res\texture\マリアスチル5.png	.\res\texture\マリアスチル5.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル5.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル5.png
エロステ妊娠確率	EroStatusPregnancyRate
.\res\texture\エロステ妊娠確率.png	.\res\texture\エロステ妊娠確率.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ妊娠確率.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ妊娠確率.png
エロステ妊娠中	EroStatusPregnant
.\res\texture\エロステ妊娠中.png	.\res\texture\エロステ妊娠中.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ妊娠中.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ妊娠中.png
マリアスチル下地	MariaStillBase
.\res\texture\マリアスチル下地.png	.\res\texture\マリアスチル下地.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル下地.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\マリアスチル下地.png
.\res\texture\アリススチル1.png	.\res\texture\アリススチル1.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル1.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル1.png
.\res\texture\アリススチル2.png	.\res\texture\アリススチル2.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル2.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル2.png
.\res\texture\アリススチル3.png	.\res\texture\アリススチル3.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル3.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル3.png
.\res\texture\アリススチル4.png	.\res\texture\アリススチル4.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル4.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル4.png
.\res\texture\アリススチル5.png	.\res\texture\アリススチル5.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル5.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル5.png
アリススチル下地	AliceStillBase
.\res\texture\アリススチル下地.png	.\res\texture\アリススチル下地.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル下地.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\アリススチル下地.png
.\res\texture\ココスチル1.png	.\res\texture\ココスチル1.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル1.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル1.png
.\res\texture\ココスチル2.png	.\res\texture\ココスチル2.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル2.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル2.png
.\res\texture\ココスチル3.png	.\res\texture\ココスチル3.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル3.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル3.png
.\res\texture\ココスチル4.png	.\res\texture\ココスチル4.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル4.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル4.png
.\res\texture\ココスチル5.png	.\res\texture\ココスチル5.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル5.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル5.png
ココスチル下地	CocoStillBase
.\res\texture\ココスチル下地.png	.\res\texture\ココスチル下地.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル下地.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\ココスチル下地.png
.\res\texture\シャルロットスチル1.png	.\res\texture\シャルロットスチル1.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\シャルロットスチル1.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\シャルロットスチル1.png
.\res\texture\シャルロットスチル2.png	.\res\texture\シャルロットスチル2.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\シャルロットスチル2.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\シャルロットスチル2.png
.\res\texture\シャルロットスチル3.png	.\res\texture\シャルロットスチル3.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\シャルロットスチル3.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\シャルロットスチル3.png
.\res\texture\シャルロットスチル4.png	.\res\texture\シャルロットスチル4.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\シャルロットスチル4.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\シャルロットスチル4.png
.\res\texture\シャルロットスチル5.png	.\res\texture\シャルロットスチル5.png
C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\シャルロットスチル5.png	C:\Users\amako\Documents\SmileBoom\Bakin\新しい伝説\addresource\UI\エロステ\シャルロットスチル5.png
シャルロットスチル下地	CharlotteStillBase
.\res\texture\シャルロットスチル下地.png	.\res\texture\シャルロットスチル下地.png
